name,scholarshipType,applicationRequired,description,quantity,preference,faculty,gender,year,disability,indigenous,race,nationality,gpa,amount,gpaBased,medalsPrizes
Department of Civil Engineering Graduation Medal,In-Course,FALSE,A medal is awarded to the student with the highest graduating grade point average (GPA) in a Bachelor of Engineering in Civil Engineering.,1,N/A,Engineering,N/A,4,No,No,N/A,N/A,0,Medal,FALSE,TRUE
Department of Computer Science Graduation Medal*,In-Course,FALSE,"A medal is awarded annually to the student with the highest graduating grade point average (GPA) in a Major or combined Computer Science degree program, unless that student is awarded the University of Victoria Jubilee Medal for Science. In this case, the Department of Computer Science Graduation Medal is awarded to the student with the second highest GPA.",1,N/A,Engineering,N/A,4,No,No,N/A,N/A,0,Medal,FALSE,TRUE
Department of Computer Science Honours Graduation Medal*,In-Course,FALSE,"A medal is awarded annually to a Computer Science Honours student with the highest graduating grade point average (GPA) in the Computer Science Honours program, unless that student is awarded the University of Victoria Jubilee Medal for Science. In this case, the Department of Computer Science Honours Graduation Medal is awarded to the student with the second highest GPA.",1,N/A,Engineering,N/A,4,No,No,N/A,N/A,0,Medal,FALSE,TRUE
Governor General's Silver Medal,In-Course,FALSE,The Governor General's Silver Medal is awarded annually to the candidate for a bachelor's degree who stands at the head of the graduating class on the basis of graduating average.,1,N/A,N/A,N/A,4,No,No,N/A,N/A,0,Medal,FALSE,TRUE
IEEE Victoria Section Gold Medal in Biomedical Engineering,In-Course,FALSE,A medal is awarded to the undergraduate student with the highest graduating grade point average in Biomedical Engineering.,1,N/A,Engineering,N/A,4,No,No,N/A,N/A,0,Medal,FALSE,TRUE
IEEE Victoria Section Gold Medal in Computer Engineering,In-Course,FALSE,Awarded to the student with the highest graduating grade point average with a B.Eng. in Computer Engineering.,1,N/A,Engineering,N/A,4,No,No,N/A,N/A,0,Medal,FALSE,TRUE
IEEE Victoria Section Gold Medal in Electrical Engineering,In-Course,FALSE,Awarded to the student with the highest graduating grade point average with a B.Eng. in Electrical Engineering.,1,N/A,Engineering,N/A,4,No,No,N/A,N/A,0,Medal,FALSE,TRUE
IEEE Victoria Section Gold Medal in Software Engineering,In-Course,FALSE,Awarded to the student with the highest graduating grade point average with a B.SENG. in Software Engineering.,1,N/A,Engineering,N/A,4,No,No,N/A,N/A,0,Medal,FALSE,TRUE
Law Society Gold Medal and Prize,In-Course,FALSE,"A gold medal, presented by the Law Society of British Columbia, will be awarded to the student obtaining the highest aggregate marks in the three years of study in the Faculty of Law. In addition, the Society will pay the student's Call and Admission Fee.",1,N/A,Law,N/A,4,No,No,N/A,N/A,0,Medal,FALSE,TRUE
Maxwell A. Cameron Memorial Award,In-Course,FALSE,"An award will be granted annually by the B.C. Teachers' Federation to the student completing the final year of the Bachelor of Education Degree in secondary school teaching, and to the student completing the final year of the Bachelor of Education Degree in elementary school teaching, who, in the opinion of the Dean of the Faculty of Education, and the director of the division (secondary or elementary) concerned, is the outstanding student in the graduating class.",2,N/A,Education,N/A,4,No,No,N/A,N/A,N/A,Award,FALSE,TRUE
University of Victoria Jubilee Medal for Humanities,In-Course,FALSE,"This medal is awarded to the student in the Faculty of Humanities registered for the B.A. or B.Sc. degree who stands at the head of the graduating class on the basis of the graduating average, unless that student is awarded the Governor General's Silver medal. In this case the University of Victoria Jubilee Medal for Humanities is awarded to the student who stands second in the graduating class on the basis of the graduating average. The award was established by the 1978 graduating class in recognition of the University's Jubilee year.",1,N/A,Humanities,N/A,4,No,No,N/A,N/A,0,Medal,FALSE,TRUE
University of Victoria Jubilee Medal for Science,In-Course,FALSE,"This medal is awarded to the student in the Faculty of Science registered for the B.Sc. degree who stands at the head of the graduating class on the basis of the graduating average, unless that student is awarded the Governor General's Silver medal. In this case the University of Victoria Jubilee Medal for Science is awarded to the student who stands second in the graduating class on the basis of the graduating average. The award was established by the 1978 graduating class in recognition of the University's Jubilee year.",1,N/A,Science,N/A,4,No,No,N/A,N/A,0,Medal,FALSE,TRUE
University of Victoria Jubilee Medal for Social Sciences,In-Course,FALSE,"This medal is awarded to the student in the Faculty of Social Sciences registered for the B.A. or B.Sc. degree who stands at the head of the graduating class on the basis of the graduating average, unless that student is awarded the Governor General's Silver medal. In this case the University of Victoria Jubilee Medal for Social Sciences is awarded to the student who stands second in the graduating class on the basis of the graduating average. The award was established by the 1978 graduating class in recognition of the University's Jubilee year.",1,N/A,Social Sciences,N/A,4,No,No,N/A,N/A,0,Medal,FALSE,TRUE
Victoria Medal*,In-Course,FALSE,"A silver medal will be awarded annually to the candidate in the Faculty of Fine Arts, registered for the BA, BFA, BSc, or BMus degree who stands at the head of the graduating class on the basis of the graduating average.",1,N/A,Fine Arts,N/A,4,No,No,N/A,N/A,0,Medal,FALSE,TRUE
